user-id, lexeme_id, review time (in days)
u:grpA, 2b97dce464f0a69324ffd2955a7eff1f, 3.3693116712981306
u:iJnK, 0e9f09196d4abc6a5ae82dd6d8772c95, 1.0571979873382307
u:gOYJ, 49be13e31443271f28a234ace28cb91c, 6.684340157660319
u:hQPg, 64abda7edc42c9774a57d91720ad0f4e, 2.9253517348338747
u:iUy0, 990c89aba5f77297866df927cafc1a1d, 2.187471571667202
u:h0i-, b345a1955c1d133f1ec77c943aff6009, 0.42320907730882
u:iL6L, ab5609e6c607e5642664fed06ffa0713, 2.3183196943872733
u:ixW2, bc4cfc44f8c83e308f291d83b95a5771, 1.2587053334724787
u:hHa_, 58dc623cb7357e51b20768411843bde1, 2.060634247750149
u:i6Lr, ba0a3f9e43bfc46291ffe54c4ff1aa99, 2.2999403385327817
u:iyFH, 0146e7216d02bba1a08e6a23e4e744a9, 4.160528639591138
u:hIuR, 1bacf218eaaf9f944e525f7be9b31899, 2.814020820910322
u:iQID, a52bc2771bde31d4d5e80bd29f350714, 1.6316354058280833
u:hUrb, d6284db28e478d575d8cc24ab1652feb, 3.0404005938276937
u:ik7v, 65e39bd07057893f74d8db10b367f7aa, 4.687939167141686
u:iP5d, bfa2713c4f93d7341626fd88601d008b, 1.0071557582661133
u:hu1J, d3619a3e50c3b522703d66166855d3bf, 4.799418579741456
u:iE8X, 0ed4e535d399f10f462b2f1e51b97d3f, 3.270990739245936
u:gSxn, 88128dcea3ea4913d99b389a6be9f2c2, 8.457660774407545
u:ii8w, 55f383178cf0fdc463ef1ebf91bd288d, 3.110217266137483
u:eC0W, 842bf8157c0a8dad3262d43a13c8f089, 4.680533571173958
u:fAOt, 31816c32dd8fdedbaa18851d825f5482, 3.163215963970463
u:ixEm, e742bc8240d2a9d1e44a1f5d52684239, 3.6539892839087056
u:iX9j, 1bacf218eaaf9f944e525f7be9b31899, 3.1734242549736
u:iNp9, baa2d2366f5bb5b8e0ea7571c4af710b, 
u:eW8R, ad1ce3b238b7286adba60b1da4041594, 
u:i-TH, a96439c6627d7b2447435b1a5f32eade, 3.6936329008286677
u:iHwc, b788f6341ae71b9e2b8132609644b175, 3.6074435840138293
u:iRRS, e23a75193507ed70051a82f39fb7abf1, 
u:idfe, 61c2f4dd9c024c9d99910ba2b04590b1, 1.5478769932438998
u:gg4J, 14bcb8f93e4a16b09fcc2a4f90072b22, 1.6345305010860418
u:ipwH, 768f410a8fc1caa64ee36071082a231c, 4.706821101295197
u:goP0, 3629ee563c2d56a4869e100a38014108, 3.640618840540448
u:h0y-, 142ad0f32d08728de0f9955df5b83f32, 2.650750350591112
u:bxW0, d42adb3343d855fa2a1e94295a90c6dd, 
u:i6hL, 5b714a6b291731d4b753c6372cde357a, 3.9695118089400765
u:eO5R, 2b02940d1611b62e715e325c2ff4bad5, 4.998495456173755
u:fcAR, 94256143c28ad9010ded87d4ce69a9bd, 2.0849744399064223
u:hgDb, 2627b8b437f653e9d83ecca78276326e, 5.151404536393045
u:iK4s, faa6fd18132b358958e440322ee82b4b, 2.195243647669856
u:hAy2, 636b31a6256d1f7dadfd08eac27090d2, 3.516417117595968
u:hXeZ, 9e1f56b08922d1d9f7ab663b58d88367, 7.33358791478559
u:i4_B, c52ab45d4e22ee7580041911159e3c0c, 2.848680215654109
u:ie-f, 1f4bb36e5aa8231dc04d772d8f4dc839, 2.38646855654463
u:gsvR, 4f5b0cd71bfa77c08eb61bb64522c8b4, 4.872319805537295
u:-fk, 56d40fb7b9c3644375aad62b1c725f2c, 6.263176131784161
u:i5xp, e0aa39569dc04dde716999653ed53a0e, 4.098655610888557
u:emc8, d27abb5cd2b7d25b51efe43da533b5a6, 1.3996380205002847
u:doPg, 335fe9380e553c323369a8509bcc00f6, 5.804906957565092
u:fQ5J, cc996312cd47e305f8b9058d3afc958c, 5.351889982774444
u:f5LD, a5acd980d17d726d1c99e7b974d3f52d, 2.689196897384914
u:imGC, 099dfb07f4ace185b82838c1fb5781ff, 2.1333918976452084
u:gX7g, 058bbe59ae8750949ec25588ef89fa7f, 2.0995177025002034
u:hJl9, 61a7dbfa4d7f9539fca3b141feb55957, 4.486849855420688
u:hNmL, 65e5296142d056fd1403e95fb027f107, 1.5622062625553594
u:hVZ8, 51fb73a04c05d6b9cc036aafd897a0ec, 5.609688167830138
u:XNQ, 5f1915e50d225aab53dde5e128e5bfb6, 5.120274967987626
u:ixnW, d3655c4c158db4993a9ae4f199d95c5e, 3.1216755023056484
